uql_query,natural_query
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:cbJfEf6ARsCBKOzOLZ4eqw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-05-15 08:39:06"") OR ([ds6w:modified]>""2024-05-16 12:38:17"")))","""Retrieve swym:Post, swym:Idea, swym:Question, and swym:WikitreePage documents from community cbJfEf6ARsCBKOzOLZ4eqw that are either of type swym:Post, swym:Idea, or swym:Question or have wiki visibility set to 1, and were modified before 2020-05-15 08:39:06 or after 2024-05-16 12:38:17."""
"(""symbol design"") AND ((([ds6w:lastModifiedBy]:""Gaël FECHANT"" OR [ds6w:responsible]:""Gaël FECHANT"")))",Retrieve documents with symbol design where last modified by Gaël FECHANT or responsible Gaël FECHANT.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:gELuVr8aQl23JR_Ob5U9Gw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-03-19 14:11:40"") OR ([ds6w:modified]>""2024-05-20 12:48:49"")))","""Retrieve documents from container UID 'wym:215dsi0708:DSEXT001:community:gELuVr8aQl23JR_Ob5U9Gw' that are of type Post, Idea, or Question or are Wikitree Pages with visibility set to 1, and were modified before 2020-03-19 14:11:40 or after 2024-05-20 12:48:49."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:1940"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2016-08-17 19:53:18"") OR ([ds6w:modified]>""2024-05-20 12:57:52"")))","""Retrieve community documents from swym:215dsi0708:DSEXT001 with type swym:Post, swym:Idea, swym:Question, or swym:WikitreePage with wiki visibility set to 1, modified before 2016-08-17 19:53:18 or after 2024-05-20 12:57:52."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:1948"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2016-08-30 19:29:20"") OR ([ds6w:modified]>""2016-11-07 18:22:09"")))","""Retrieve documents from the container 'wym:215dsi0708:DSEXT001:community:1948' that are of type 'wym:Post', 'wym:Idea', 'wym:Question', or 'wym:WikitreePage' with wiki visibility set to 1, and modified before '2016-08-30 19:29:20' or after '2016-11-07 18:22:09'."""
[ds6w:resourceUid]:(0f2f816d-99be-4a69-b028-998ac9eedc58 OR 0c37c10f-6206-4ccb-913f-6db72d42bc3f OR 96b80834-cd40-4034-97de-3421e7f1e0d0 OR 0f7f7958-64a3-4a18-a483-48875519a716 OR 5614e547-b603-4b3f-b530-652f7076fbe4 OR 2b2d412f-ef64-4a9c-b54b-ce0236cce3b3),"Retrieve documents with resource UIDs 0f2f816d-99be-4a69-b028-998ac9eedc58, 0c37c10f-6206-4ccb-913f-6db72d42bc3f, 96b80834-cd40-4034-97de-3421e7f1e0d0, 0f7f7958-64a3-4a18-a483-48875519a716, 5614e547-b603-4b3f-b530-652f7076fbe4, or 2b2d412f-ef64-4a9c-b54b-ce0236cce3b3."
"[ds6w:resourceUid]:(""iam:uvv1"")",Retrieve documents with resourceUid iam:uvv1.
[ds6w:label]:産官学,Search for documents with label 産官学.
"[ds6w:resourceUid]:(""iam:xdg"" BOR ""iam:v17"" BOR ""iam:ufr"" BOR ""iam:chh"" BOR ""iam:sme4"" BOR ""iam:vdr3"" BOR ""5fb5879c-0210-488d-9695-3e15299b5654"" BOR ""iam:otn"" BOR ""iam:ko3"")","Retrieve documents with resourceUid equal to ""iam:xdg"", ""iam:v17"", ""iam:ufr"", ""iam:chh"", ""iam:sme4"", ""iam:vdr3"", ""5fb5879c-0210-488d-9695-3e15299b5654"", or ""iam:otn"", or ""iam:ko3""."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:8dhuwuBhS4mIbfMi7DTACA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-11-14 00:44:38"") OR ([ds6w:modified]>""2023-04-18 02:00:42"")))","""Retrieve documents in container swym:215dsi0708:DSEXT001:community:8dhuwuBhS4mIbfMi7DTACA that are either posts, ideas, or questions or are WikiTree pages with visibility 1, and were either modified before November 14, 2022, 00:44:38 or after April 18, 2023, 02:00:42."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:241"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2010-04-27 17:04:09"") OR ([ds6w:modified]>""2024-05-09 12:51:53"")))","""Retrieve documents from the container swym:215dsi0708:DSEXT001:community:241 with type swym:Post, swym:Idea, or swym:Question, or type swym:WikitreePage with visibility 1, modified before 2010-04-27 17:04:09 or after 2024-05-09 12:51:53."""
"[ds6w:resourceUid]:(""212a7958-43a3-4a63-bfcf-af1bbce7524f"")",Retrieve the document with resourceUid equal to 212a7958-43a3-4a63-bfcf-af1bbce7524f.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:u_BHk6ykQ5mVvKjQDpCrSw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-03-23 08:07:21"") OR ([ds6w:modified]>""2024-03-26 08:19:55"")))","""Retrieve posts, ideas, questions, or Wikitree pages in the swym:215dsi0708:DSEXT001:community community with a container UID of swym:215dsi0708:DSEXT001:community:u_BHk6ykQ5mVvKjQDpCrSw that were modified before March 23, 2022, 08:07:21 or after March 26, 2024, 08:19:55 and have a visibility of 1."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:DgOdg4GwTnu7By2jrCeyEA"")","""Retrieve documents with resource ID swym:215dsi0708:DSEXT001:community:DgOdg4GwTnu7By2jrCeyEA."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:vWmACQ0gRESCkLzPOV7dmQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-03-24 10:35:44"") OR ([ds6w:modified]>""2024-05-20 19:53:21"")))","""Retrieve documents in the community 'wym:215dsi0708:DSEXT001' that are either of type 'Post', 'Idea', 'Question', or 'WikitreePage with visibility 1, and were modified before 24th March 2023 10:35:44 or after 20th May 2024 19:53:21."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:3K3mSw33Sga3PefLGrKCMQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-03-14 09:02:51"") OR ([ds6w:modified]>""2024-05-16 08:39:26"")))","""Retrieve documents with container UID 'wym:215dsi0708:DSEXT001:community:3K3mSw33Sga3PefLGrKCMQ, of type Post, Idea, or Question, or WikitreePage with visibility 1, created before March 14, 2022 09:02:51 or after May 16, 2024 08:39:26."""
[ds6w:resourceUid]:(cd59b414-4720-4ae7-aa96-f03c335a28d8),Search for the resource with resourceUid cd59b414-4720-4ae7-aa96-f03c335a28d8.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:jE91ekWhTWuDj4kpQLJzTg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-08-24 05:35:50"") OR ([ds6w:modified]>""2024-05-21 06:12:48"")))","""Retrieve documents from container 'wym:215dsi0708:DSEXT001:community:jE91ekWhTWuDj4kpQLJzTg' that are of type Post, Idea, or Question, or are Wikitree Pages with visibility level 1, and were modified before August 24, 2020 05:35:50 or after May 21, 2024 06:12:48."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:2ZGnc2D3Qmmw9FBOu9RiWQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2024-01-09 09:15:56"") OR ([ds6w:modified]>""2024-05-20 12:22:35"")))","""Retrieve documents with container UID 'wym:215dsi0708:DSEXT001:community:2ZGnc2D3Qmmw9FBOu9RiWQ' that are of type 'wym:Post', 'wym:Idea', or 'wym:Question' or are 'wym:WikitreePage' with visibility set to 1, and were modified before January 9, 2024, 09:15:56 or after May 20, 2024, 12:22:35."""
[ds6w:resourceUid]:(af58f9aa-ce9f-47a4-aa49-210738fb4069 OR 537bf086-dc28-42fe-b49b-6f5fe2e11e12 OR b473f581-4eb3-4350-aa5f-a3afcaf2c6d9),"Retrieve documents with resource UID af58f9aa-ce9f-47a4-aa49-210738fb4069, 537bf086-dc28-42fe-b49b-6f5fe2e11e12, or b473f581-4eb3-4350-aa5f-a3afcaf2c6d9."
[ds6w:resourceUid]:(f61aae10-ca09-4855-88bb-d77497941d3b OR 062af536-33bd-48cf-90d0-4163b594a86b OR d50cd14c-7e5a-4831-95fe-43e4bea43f5e),"""Retrieve resources with the following Uids: f61aae10-ca09-4855-88bb-d77497941d3b, 062af536-33bd-48cf-90d0-4163b594a86b, or d50cd14c-7e5a-4831-95fe-43e4bea43f5e."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:anPmJTxfQn6_h-5horwgKw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-09-06 07:42:19"") OR ([ds6w:modified]>""2022-04-18 06:32:52"")))","""Retrieve documents from the container 'wym:215dsi0708:DSEXT001:community:anPmJTxfQn6_h-5horwgKw' that are of type 'wym:Post', 'wym:Idea', or 'wym:Question', or are of type 'wym:WikitreePage' with visibility set to 1, and if modified before '2021-09-06 07:42:19' or after '2022-04-18 06:32:52'."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:EoQ55pdbS4OP9WLdlFuvng"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-03-04 19:55:06"") OR ([ds6w:modified]>""2024-05-21 03:10:34"")))","""Retrieve documents in a community with container ID swym:215dsi0708:DSEXT001:EoQ55pdbS4OP9WLdlFuvng and of type Post, Idea, or Question, or a WikitreePage with visibility 1, and modified before March 4, 2021 19:55:06 or after May 21, 2024 03:10:34."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:WVNojFHDSzKEQXS4OLnzBw"")",Retrieve documents where the resource UID is swym:215dsi0708:DSEXT001:community:WVNojFHDSzKEQXS4OLnzBw.
"[ds6w:resourceUid]:""FC029F9D343F0000645B1391001987C8""",Retrieve the document with resourceUid FC029F9D343F0000645B1391001987C8.
"[ds6w:resourceUid]:(""5a69d9f7-748c-4b00-886d-fc72cecf0612"")","""Retrieve the resource with UID 5a69d9f7-748c-4b00-886d-fc72cf0612."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:bf1ThgmbTqW6os9GU-LG4Q"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2018-12-12 10:15:34"") OR ([ds6w:modified]>""2024-05-14 07:20:34"")))","""Retrieve documents with container UID swym:215dsi0708:DSEXT001:community:bf1ThgmbTqW6os9GU-LG4Q, with type either Post, Idea, or Question, or types WikitreePage with visibility level 1, and modified date prior to 2018-12-12 10:15:34 or after 2024-05-14 07:20:34."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:508"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2011-12-08 14:47:16"") OR ([ds6w:modified]>""2024-05-20 03:32:58"")))","""Retrieve documents with container ID 'wym:215dsi0708:DSEXT001:community:508' that are either posts, ideas, or questions or are wiki pages with visibility set to 1, and were modified before December 8, 2011 2:47:16 PM or after May 20, 2024 3:32:58 AM."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:76Sg8wvDQFO4Pkk2tpl2Ug"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2024-05-10 15:44:14"") OR ([ds6w:modified]>""2024-05-10 15:44:14"")))","""Retrieve documents from the community with container ID 'wym:215dsi0708:DSEXT001:community:76Sg8wvDQFO4Pkk2tpl2Ug' that are either posts, ideas, or questions, or are wiki pages with visibility set to 1, and whose last modified date is before May 10, 15:44:14 or after May 10, 15:44:14."""
[ds6w:label]:(Engineer THE EXCITEMENT*),"""Retrieve documents with labels containing 'Engineer THE EXCITEMENT'."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:rMcCtCGYRDyFzEB8HPl9hg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-03-05 14:38:18"") OR ([ds6w:modified]>""2024-05-20 06:09:18"")))","""Retrieve documents in container 'wym:215dsi0708:DSEXT001:community:rMcCtCGYRDyFzEB8HPl9hg' that are of type 'wym:Post', 'wym:Idea', 'wym:Question', or 'wym:WikitreePage' with visibility '1', and modified between March 5, 2020, 2:38:18 PM and May 20, 2024, 6:09:18 AM."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:W729ZpCQRPyMIUDtUC2psA"")","Retrieve documents with resource UID equal to ""swym:215dsi0708:DSEXT001:community:W729ZpCQRPyMIUDtUC2psA""."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:3nPgVqOORLqluWVKVqDZLw"")","""Retrieve documents with resource UID matching swym:215dsi0708:DSEXT001:community:3nPgVqOORLqluWVKVqDZLw."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:KMAdf-QETa6kPy2ZW7ARnw"")","Retrieve documents with resourceUid matching ""swym:215dsi0708:DSEXT001:community:KMAdf-QETa6kPy2ZW7ARnw""."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:dhEDBXFKSeK4VnfLmZ1YpQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2018-06-18 09:56:43"") OR ([ds6w:modified]>""2018-06-18 09:57:13"")))","""Retrieve swym:Post, swym:Idea, swym:Question, and swym:WikitreePage documents with ID swym:215dsi0708:DSEXT001:community:dhEDBXFKSeK4VnfLmZ1YpQ in the community, where type is Post, Idea, or Question, and visibility is 1, and modified date is before June 18, 2018 09:56:43 or after June 18, 2018 09:57:13."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:MPvmenYaTjmIUYrFTiSbsA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-02-13 08:30:09"") OR ([ds6w:modified]>""2024-05-17 17:14:46"")))","""Retrieve documents with container Uid 'wym:215dsi0708:DSEXT001:community:MPvmenYaTjmIUYrFTiSbsA' that are either of type 'wym:Post', 'wym:Idea', or 'wym:Question' or are of type 'wym:WikitreePage' with visibility set to 1, and were modified before February 13, 2019 08:30:09 or after May 17, 2024 17:14:46."""
[ds6w:resourceUid]:(315e0847-ec0b-4510-9a96-3f51d5b54ca4 OR 73af9ba1-ca0e-4e1f-bd02-5eb535a7452e OR 4510202b-aab5-44f2-8263-359f6bfeda54 OR fb8f20ba-da6c-4e3a-8c05-66a37b68e62a OR 31132bc5-bea8-4d88-ab21-aea1e325bf66 OR ae5c3533-1d48-4a6a-a0b5-06e346e03e8f),"""Retrieve documents with resource UIDs 315e0847-ec0b-4510-9a96-3f51d5b54ca4, 73af9ba1-ca0e-4e1f-bd02-5eb535a7452e, 4510202b-aab5-44f2-8263-359f6bfeda54, fb8f20ba-da6c-4e3a-8c05-66a37b68e62a, 31132bc5-bea8-4d88-ab21-aea1e325bf66, or ae5c3533-1d48-4a6a-a0b5-06e346e03e8f."""
"[ds6w:type]:""pno:Person"" AND personOrGroup:(vep)","Retrieve documents of type ""pno:Person"" and containing 'personOrGroup' that is 'ep'."
[ds6w:resourceUid]:(32acd307-d057-41ae-a752-5f041e25c5c7 OR 13ba781d-24a8-44bd-a8b5-0c998446020e OR 7abadad6-adaf-4076-8bbe-a85c22be9d14 OR bcd8e857-8d40-4938-88ec-68ff7494baa8 OR 83b799a5-ad8e-45d6-af04-11a5cc723ed0 OR 3a59029b-6471-4659-afff-cd283de6e1dc OR 995bce14-bdf5-454f-bd9c-a2cfae625bb0 OR 94f680b4-5292-406b-862e-8a681b6f9dfa OR 705f4d4a-08a8-48b3-9f42-c85ad30f926e OR 7f0c317f-6fef-4cee-8964-eb7666a9dd3f OR 8ec723b3-af9b-419b-843e-6dad49b8eea9 OR 077c821c-7111-4b3c-97d5-030473d4dbec OR ccee7af8-1591-4d0d-a25c-d3c7db832d14 OR e040f4c4-574c-478c-b5a3-f098f8279b06 OR a70392b1-3c1f-449a-a694-c884786a4de1 OR 50c99b37-ab02-4fde-8554-61ec199dca35),"""Retrieve documents with resource UIDs 32acd307-d057-41ae-a752-5f041e25c5c7, 13ba781d-24a8-44bd-a8b5-0c998446020e, 7abadad6-adaf-4076-8bbe-a85c22be9d14, bcd8e857-8d40-4938-88ec-68ff7494baa8, 83b799a5-ad8e-45d6-af04-11a5cc723ed0, 3a59029b-6471-4659-afff-cd283de6e1dc, 995bce14-bdf5-454f-bd9c-a2cfae625bb0, 94f680b4-5292-406b-862e-8a681b6f9dfa, 705f4d4a-08a8-48b3-9f42-c85ad30f926e, 7f0c317f-6fef-4cee-8964-eb7666a9dd3f, 8ec723b3-af9b-419b-843e-6dad49b8eea9, 077c821c-7111-4b3c-97d5-030473d4dbec, ccee7af8-1591-4d0d-a25c-d3c7db832d14, e040f4c4-574c-478c-b5a3-f098f8279b06, a70392b1-3c1f-449a-a694-c884786a4de1, 50c99b37-ab02-4fde-8554-61ec199dca35."""
"[ds6w:resourceUid]:(""60b3e513-8dd4-4889-9770-9997a8705827"")",Retrieve documents with the specified resource UID 60b3e513-8dd4-4889-9770-9997a8705827.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:1146"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2014-01-27 04:14:32"") OR ([ds6w:modified]>""2024-05-14 17:12:43"")))","""Retrieve swym:Post, swym:Idea, swym:Question, or swym:WikitreePage with wiki visibility set to 1 from container swym:215dsi0708:DSEXT001:community:1146, created before January 27, 2014 04:14:32 or after May 14, 2024 17:12:43."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:Iv5__o17T3-AZ7IXwq-7Lg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-04-26 14:41:28"") OR ([ds6w:modified]>""2024-05-17 05:38:18"")))","""Retrieve documents with container UID 'wym:215dsi0708:DSEXT001:community:Iv5__o17T3-AZ7IXwq-7Lg' that are of type 'wym:Post', 'wym:Idea', 'wym:Question', or 'wym:WikitreePage' with visibility set to 1, and were created before 2021-04-26 14:41:28 or after 2024-05-17 05:38:18."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:n_5dOPfbSIK2-0dLYPIYFQ"")","Retrieve documents with resourceUid matching ""swym:215dsi0708:DSEXT001:community:n_5dOPfbSIK2-0dLYPIYFQ""."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:LQA44Ip5QvatC2k0pcykGg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-02-14 08:02:05"") OR ([ds6w:modified]>""2024-05-20 14:28:56"")))","""Retrieve posts, ideas, and questions from community LQA44Ip5QvatC2k0pcykGg, with type either post, idea, or question, or which are Wikitree Pages with visibility level 1, created before February 14, 2019, 08:02:05 or after May 20, 2024, 14:28:56."""
"[ds6w:resourceUid]:(""iam:ina"")",Retrieve documents with resourceUid matching iam:ina.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:407"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2011-03-23 08:42:30"") OR ([ds6w:modified]>""2024-05-20 19:22:33"")))","Retrieve documents in ""swym:215dsi0708:DSEXT001:community:407"" that are of type ""swym:Post"", ""swym:Idea"", ""swym:Question"" or ""swym:WikitreePage"" and have visibility 1, and either modified before 2011-03-23 08:42:30 or modified after 2024-05-20 19:22:33."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:c3eH_61DTdGNRHa_QrGGBg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2018-02-06 22:40:17"") OR ([ds6w:modified]>""2024-05-15 19:26:11"")))","""Retrieve posts, ideas, or questions in the community c3eH_61DTdGNRHa_QrGGBg with a wiki visibility of 1, created before February 6, 2018, 22:40:17 or after May 15, 2024, 19:26:11, with a container UID of swym:215dsi0708:DSEXT001."""
"(ITAM) AND ([ds6w:responsible]:(""Adrian GUTIERREZ MULLER"" OR ""Alexandre WAGNER"" OR ""Benjamin VIDAL"" OR ""Brandon NEANG"" OR ""Christophe CHAPUIS"" OR ""Christophe FERNANDES"" OR ""Claire FIERVILLE"" OR ""Elsa MORY"" OR ""Florent BERNARD"" OR ""François MORIN"" OR ""Hadrien LACOSTE-LAGRANGE"" OR ""Jean Marie LAMARE"" OR ""Jerome BAUDRILLART"" OR ""Jessica COUSIN"" OR ""Joakim ARON"" OR ""Joaquin SANTA MARINA"" OR ""Kim Anh NGO"" OR ""Kotaro YOSHIDA"" OR ""Laurent VAYSSETTES"" OR ""Loubna BERRADA"" OR ""Mohammed Amine BENKHDAR"" OR ""Oumaima KHADROUF"" OR ""Pascale MONTROCHER"" OR ""Philippe FRUSTIE"" OR ""Semevo AZILINON"" OR ""Thomas PICHARD"" OR ""Veerle DE DECKER"" OR ""Wojtek SWIATEK"" OR ""Ben PINE"" OR ""Karl KUERES"" OR ""Paul FRETWELL"" OR ""Laurentiu NICOLAE"" OR ""Robbert VAN DEN BOGERT"" OR ""Lorenzo Maria PII""))","""Retrieve all ITAM documents created by Adrian GUTIERREZ MULLER, Alexandre WAGNER, Benjamin VIDAL, Brandon NEANG, Christophe CHAPUIS, Christophe FERNANDES, Claire FIERVILLE, Elsa MORY, Florent BERNARD, François MORIN, Hadrien LACOSTE-LAGRANGE, Jean Marie LAMARE, Jerome BAUDRILLART, Jessica COUSIN, Joakim ARON, Joaquin SANTA MARINA, Kim Anh NGO, Kotaro YOSHIDA, Laurent VAYSSETTES, Loubna BERRADA, Mohammed Amine BENKHDAR, Oumaima KHADROUF, Pascale MONTROCHER, Philippe FRUSTIE, Semevo AZILINON, Thomas PICHARD, Veerle DE DECKER, Wojtek SWIATEK, Ben PINE, Karl KUERES, Paul FRETWELL, Laurentiu NICOLAE, or Robbert VAN DEN BOGERT."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:_xjrXuVxSASq8MVuZDry2Q"")","Retrieve documents with resourceUid matching ""swym:215dsi0708:DSEXT001:community:_xjrXuVxSASq8MVuZDry2Q""."
"([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:uqHW_Ss0QmeDgsVSQtKNNg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1)))","""Retrieve documents with container UID 'wym:215dsi0708:DSEXT001:community:uqHW_Ss0QmeDgsVSQtKNNg' that are either posts, ideas, or questions or are Wikitree pages with visibility set to 1."""
"[ds6w:resourceUid]:(""163854f7-f446-4897-bf4b-1d7484ab2682"" BOR ""1561708c-e632-4080-b500-e0cf431281a8"")","Retrieve resources with resource UIDs equal to either ""163854f7-f446-4897-bf4b-1d7484ab2682"" or ""1561708c-e632-4080-b500-e0cf431281a8""."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:697"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2012-11-30 09:30:45"") OR ([ds6w:modified]>""2024-05-20 20:23:34"")))","""Retrieve documents with container ID 'wym:215dsi0708:DSEXT001:community:697 that are either posts, ideas, or questions, or are Wikitree pages with visibility set to 1, and were modified before 2012-11-30 09:30:45 or after 2024-05-20 20:23:34."""
"([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:5jPnTxsWQNij6S8Tg9-_0A"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1)))","""Retrieve documents with container ID 'wym:215dsi0708:DSEXT001:community:5jPnTxsWQNij6S8Tg9-_0A, of type Post, Idea, or Question, or WikitreePage with visibility set to 1."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:qQAd3pJaSOu5NWXT2dy6rw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-03-02 14:47:51"") OR ([ds6w:modified]>""2024-04-24 18:46:50"")))","""Retrieve documents in the swym:215dsi0708:DSEXT001:community:qQAd3pJaSOu5NWXT2dy6rw container, where the type is swym:Post, swym:Idea, swym:Question, or swym:WikitreePage with wiki visibility set to 1, and modified date is before March 2, 2021 14:47:51 or after April 24, 2024 18:46:50."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:9bxcvSrsRoWinbdkPqvPUA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2024-01-22 08:01:47"") OR ([ds6w:modified]>""2024-04-18 16:58:49"")))","""Retrieve all documents with container UID 'wym:215dsi0708:DSEXT001:community:9bxcvSrsRoWinbdkPqvPUA' that are of type 'Post', 'Idea', or 'Question' or are of type 'WikitreePage' with visibility set to 1, and were modified before January 22, 2024, 08:01:47 or after April 18, 2024, 16:58:49."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:2038"")","""Retrieve documents with resource UID 'wym:215dsi0708:DSEXT001:community:2038'."""
